effective_balance_gwei,validator_count
26000000000,1
27000000000,22
28000000000,1
29000000000,18
30000000000,50
31000000000,352
32000000000,887459
33000000000,465
34000000000,136
35000000000,104
36000000000,62
37000000000,65
38000000000,65
39000000000,57
40000000000,90
41000000000,47
42000000000,35
43000000000,23
44000000000,37
45000000000,30
46000000000,34
47000000000,26
48000000000,32
49000000000,28
50000000000,78
51000000000,30
52000000000,32
53000000000,23
54000000000,19
55000000000,20
56000000000,16
57000000000,13
58000000000,19
59000000000,12
60000000000,28
61000000000,15
62000000000,23
63000000000,26
64000000000,190
65000000000,81
66000000000,46
67000000000,28
68000000000,26
69000000000,16
70000000000,35
71000000000,20
72000000000,19
73000000000,11
74000000000,10
75000000000,13
76000000000,12
77000000000,13
78000000000,15
79000000000,16
80000000000,18
81000000000,29
82000000000,13
83000000000,4
84000000000,9
85000000000,12
86000000000,12
87000000000,7
88000000000,9
89000000000,11
90000000000,19
91000000000,11
92000000000,10
93000000000,13
94000000000,8
95000000000,5
96000000000,53
97000000000,73
98000000000,43
99000000000,26
100000000000,63
101000000000,43
102000000000,32
103000000000,17
104000000000,10
105000000000,13
106000000000,8
107000000000,5
108000000000,10
109000000000,5
110000000000,5
111000000000,9
112000000000,9
113000000000,10
114000000000,5
115000000000,13
116000000000,8
117000000000,1
118000000000,5
119000000000,8
120000000000,11
121000000000,9
122000000000,7
123000000000,4
124000000000,7
125000000000,8
126000000000,6
127000000000,2
128000000000,54
129000000000,28
130000000000,31
131000000000,20
132000000000,25
133000000000,10
134000000000,8
135000000000,6
136000000000,6
137000000000,7
138000000000,6
139000000000,10
140000000000,5
141000000000,9
142000000000,3
143000000000,2
144000000000,4
145000000000,5
146000000000,4
147000000000,5
148000000000,4
149000000000,4
150000000000,15
151000000000,12
152000000000,14
153000000000,32
154000000000,3
155000000000,3
156000000000,6
157000000000,2
158000000000,2
159000000000,3
160000000000,148
161000000000,24
162000000000,55
163000000000,17
164000000000,21
165000000000,22
166000000000,6
167000000000,5
168000000000,3
169000000000,3
170000000000,7
171000000000,10
172000000000,9
173000000000,4
174000000000,4
175000000000,2
176000000000,7
177000000000,3
178000000000,5
179000000000,2
180000000000,4
181000000000,7
182000000000,4
183000000000,2
184000000000,5
185000000000,6
186000000000,2
187000000000,3
188000000000,2
189000000000,3
190000000000,4
191000000000,4
192000000000,13
193000000000,5
194000000000,34
195000000000,19
196000000000,7
197000000000,4
198000000000,5
199000000000,4
200000000000,24
201000000000,4
202000000000,27
203000000000,128
204000000000,55
205000000000,3
206000000000,3
207000000000,4
208000000000,6
209000000000,4
210000000000,1
211000000000,2
212000000000,6
213000000000,5
214000000000,3
216000000000,2
218000000000,1
219000000000,1
220000000000,2
221000000000,3
222000000000,3
223000000000,5
224000000000,7
225000000000,3
226000000000,11
227000000000,5
228000000000,4
229000000000,7
230000000000,16
231000000000,4
232000000000,3
233000000000,2
234000000000,3
235000000000,3
236000000000,1
237000000000,3
238000000000,4
239000000000,4
240000000000,5
241000000000,6
242000000000,5
243000000000,3
244000000000,3
245000000000,2
246000000000,4
247000000000,2
248000000000,1
249000000000,8
250000000000,51
251000000000,33
252000000000,4
253000000000,1
254000000000,8
255000000000,3
256000000000,14
257000000000,2
258000000000,4
259000000000,2
260000000000,6
261000000000,12
262000000000,7
263000000000,10
264000000000,4
265000000000,6
266000000000,4
267000000000,3
268000000000,8
269000000000,4
270000000000,5
271000000000,2
272000000000,2
273000000000,3
274000000000,2
275000000000,3
276000000000,3
277000000000,5
278000000000,3
279000000000,3
280000000000,2
281000000000,1
282000000000,4
283000000000,3
284000000000,1
285000000000,4
286000000000,1
287000000000,3
288000000000,8
