group_key,validator_count,effective_balance_gwei,credential_00_count,credential_01_count,credential_02_count
execution_address:0x00000000006267dd559d14f5adef3f777ae7bb0e,1,32000000000,0,1,0
execution_address:0x0000000001ee9573d875425f5221bcff0ec3318d,1,32000000000,0,1,0
execution_address:0x0000000002bc5112413a19394bd41445da456a4b,1,32000000000,0,1,0
execution_address:0x0000000003a2e27d02760f4e931f2e47ee716c8a,1,32000000000,0,1,0
execution_address:0x0000000003a63226f88f4b9ecae34aa1116c9602,1,32000000000,0,1,0
execution_address:0x00000000052e11e17b6071f06a8193efd2607765,1,32000000000,0,1,0
execution_address:0x0000000007186bd0c910d0cede8de572d0350275,1,32000000000,0,1,0
execution_address:0x00000000079e80cd590249b20c3a75e64d34fa3d,1,32000000000,0,1,0
execution_address:0x00000000096879e2b6b599e07e3262e4184461c7,1,32000000000,0,1,0
execution_address:0x00000000099db5792858055bcf1c808cbcd590eb,1,32000000000,0,1,0
execution_address:0x000000000ad70036ddbc75a8d54f45942f8692ca,1,32000000000,0,1,0
execution_address:0x000000000bb2934b93c6da4bbf3e760088af887c,1,32000000000,0,1,0
execution_address:0x000000000c77f66edd4f5fbfa11441b1abddf030,1,32000000000,0,1,0
execution_address:0x000000000d31e69b1291b3232ff3adab4b4a1083,1,32000000000,0,1,0
execution_address:0x000000000ecf46c5db72c57885871bec91941fad,1,32000000000,0,1,0
execution_address:0x000000000f0e6ed96796aee0334b07399c4e0810,1,32000000000,0,1,0
execution_address:0x000000000f0f210948be6469e1d1739263624cf6,1,32000000000,0,1,0
execution_address:0x00000000130814756a7d1ea616a0c3f16a8a51d7,1,32000000000,0,1,0
execution_address:0x0000000018a783ff889ca49533e5e6272372d6ba,1,32000000000,0,1,0
execution_address:0x0000000019215ec734b04e3dfb5bebf00c0bef2d,1,32000000000,0,1,0
execution_address:0x0000000022a0ca96be3be0ece329c024499c3ccd,1,32000000000,0,1,0
execution_address:0x0000000023291630cf7fdf0b953594fa651a1e76,1,32000000000,0,1,0
execution_address:0x000000002f0b2a105b8c0845760e6342a62be86a,1,32000000000,0,1,0
execution_address:0x000000002f77be5c9b1adf5052ad07219cfff39d,1,32000000000,0,1,0
execution_address:0x00000000301fde202be002dd52190311ea6ad78c,1,32000000000,0,1,0
execution_address:0x0000000037ae90108aa2b0b51ad750241e2815a5,1,32000000000,0,1,0
execution_address:0x0000000044dc5d480174eadbf76412f3c2fc246e,1,32000000000,0,1,0
execution_address:0x000000004a1594732481ec08da823e773cfa0e69,1,32000000000,0,1,0
execution_address:0x000000004a4b08608ae7efc66eea11370b2b7d43,1,32000000000,0,1,0
execution_address:0x000000005486faced184fc76ad9f8e7771b4482a,1,32000000000,0,1,0
execution_address:0x000000005c6a834fd41d04cf684ce4bcdeefba7a,1,32000000000,0,1,0
execution_address:0x00000000659819a7155cccfb7d9f2bf5a96a0714,1,32000000000,0,1,0
execution_address:0x0000000066330d4de0f5e8bf722319b8d75d089e,1,32000000000,0,1,0
execution_address:0x00000000666fbcd0dc02e6361cbde4d87263ec17,1,32000000000,0,1,0
execution_address:0x000000006b0d71b4379fecf870fe3b3b68ac55c7,1,32000000000,0,1,0
execution_address:0x0000000075f11f36bde1599b50cc9dc112712294,1,32000000000,0,1,0
execution_address:0x000000007c7b4c59428beda0c1c61d48119aa4bd,1,32000000000,0,1,0
execution_address:0x000000007fc3a9074fe0f74bbedd468dc93ea848,1,32000000000,0,1,0
execution_address:0x0000000081268c4cb327469de0796e6bb41153d5,1,32000000000,0,1,0
execution_address:0x00000000850caa3e5e8b6fa4f1e332e389860578,1,32000000000,0,1,0
execution_address:0x000000008b202152fd831b7e6a7f8d8e56de773c,1,32000000000,0,1,0
execution_address:0x000000008cf56fe8b47b3bdc70193257d0ef80f5,1,32000000000,0,1,0
execution_address:0x00000000993f3c08b5d2050b80860451bfed6ffa,1,32000000000,0,1,0
execution_address:0x000000009cd2083f356f6a87118aaf50d498504f,1,32000000000,0,1,0
execution_address:0x00000000a0f3224a3ecc7747c02e67b51f93c06a,1,32000000000,0,1,0
execution_address:0x00000000a405d0744b816b2254504f98ce83e3d0,1,32000000000,0,1,0
execution_address:0x00000000a6fb3a371bd4f306bd609b627b99f924,1,32000000000,0,1,0
execution_address:0x00000000ad42a9fb24b03ca29454915474c60690,1,32000000000,0,1,0
execution_address:0x00000000b07b3847b711cf5d1b11abef144d18cb,1,32000000000,0,1,0
execution_address:0x00000000b083504037aa01c2d7297f6d459d5fc3,3,96000000000,0,3,0
execution_address:0x00000000b9976133c129074cb25ed7297f72fd1f,1,32000000000,0,1,0
execution_address:0x00000000baa9a9825f8d9a4631d7c0e450d423c6,1,32000000000,0,1,0
execution_address:0x00000000bbe28f8b44a1a032a4485b70a75c4ba0,1,32000000000,0,1,0
execution_address:0x00000000bd7b60040e216cec4abdc5af80968466,1,32000000000,0,1,0
execution_address:0x00000000be22eb4cbc7b9710e8fe92ded696a388,1,32000000000,0,1,0
execution_address:0x00000000c569658ee88e3e69434dab8ab0d97974,1,32000000000,0,1,0
execution_address:0x00000000c63d81751af34d22965a3c7395f2e9c6,1,32000000000,0,1,0
execution_address:0x00000000ca4f832fd3c7d0bb7d49e97344412e44,1,32000000000,0,1,0
execution_address:0x00000000cb3b535f3c93aa647a057699d858ebe4,1,32000000000,0,1,0
execution_address:0x00000000d65aeedf6d009b6a9c9e1639c1b4997c,1,32000000000,0,1,0
execution_address:0x00000000dde449f4d1bb8706fd28ccf3f0d49b8b,1,32000000000,0,1,0
execution_address:0x00000000e1b5ba5dd2c51b702db37f7e4aed093d,1,32000000000,0,1,0
execution_address:0x00000000e2c3536c4ad58f82b9cd1f7955aa66c8,1,32000000000,0,1,0
execution_address:0x00000000e90fce765f63288ad78b44655b014486,1,32000000000,0,1,0
execution_address:0x00000000eeee4f7e40210c2b956a77c3b51e7873,1,32000000000,0,1,0
execution_address:0x00000000ef314c9e8fb8851692728611f543fd18,1,32000000000,0,1,0
execution_address:0x00000000f456732c1025093d4ff9a6d34e68f8e6,1,32000000000,0,1,0
execution_address:0x00000000f6a2ea7710301a38138537a9083dc703,1,32000000000,0,1,0
execution_address:0x00000000fe66e20eb12bb6d4740d89f14a7250f9,1,32000000000,0,1,0
execution_address:0x00000000ffd3b50a6321eaf54b07dc97d12bd0dd,1,32000000000,0,1,0
execution_address:0x00000001e2adf83dd14f86075afd679c2732ee84,1,32000000000,0,1,0
execution_address:0x000000022edc0e5980d861a403e74470cc42a9bd,1,32000000000,0,1,0
execution_address:0x00000010e16ef97e530ad0b5cc87a304df1e269e,1,32000000000,0,1,0
execution_address:0x0000001f6a21195f2c50dc897c879e4ad9cbcacd,1,32000000000,0,1,0
execution_address:0x0000002086e3fe9194863ad0bf966f7726587739,1,32000000000,0,1,0
execution_address:0x000000261a8ff83081763683a7b5cd2706aa7f2d,1,32000000000,0,1,0
execution_address:0x000000306241d493047b73ddd2241525c5e95028,1,32000000000,0,1,0
execution_address:0x00000040f0363e00b1f85963dad431c717ee323f,1,32000000000,0,1,0
execution_address:0x000000508390bc0dfabf0eedb4b01184f16cb96a,1,32000000000,0,1,0
execution_address:0x00001000c1106af8418daff9918b6c0b3389fde9,1,32000000000,0,1,0
execution_address:0x0001000097b6cd06199e6dd77109fb1f264aa975,1,32000000000,0,1,0
execution_address:0x00011000223eb6851265ac8efac8f6cbd5499326,1,32000000000,0,1,0
execution_address:0x00015e9ceda8b82bae9f3f5a631c80ab73cbff81,1,32000000000,0,1,0
execution_address:0x0001e0000ac6956feb3988d852f19e93a90b4ab5,1,32000000000,0,1,0
execution_address:0x00057ef157d01c28da3e545487a4d93f55b70842,5,160000000000,0,5,0
execution_address:0x000979bbfa3a35ea1f4c716e99dd3a84a5b7f52e,1,33000000000,0,0,1
execution_address:0x00098359b96d00fad94a6fcf6baae8c529881069,13,416000000000,0,13,0
execution_address:0x000d07ba39bc906723fb72775523d2749a4f8426,1,32000000000,0,0,1
execution_address:0x000d0dfc67567529725aef3766bc4656eb829cb4,1,32000000000,0,1,0
execution_address:0x000d9501eb2b15681c1c2001e9c793b8319e2efd,1,32000000000,0,1,0
execution_address:0x000ef1e2189d7c778af7971dc321cd13f3c52253,1,32000000000,0,1,0
execution_address:0x00100000592f2578c311daf952c058973ddce765,1,32000000000,0,1,0
execution_address:0x00101000e120508cb6591bb7f7b85cf6df90d5e5,1,32000000000,0,1,0
execution_address:0x001026c70491f0bfd836b8ae2d05dba2fea553b3,60,1920000000000,0,60,0
execution_address:0x0011000053a19bd76273d8f966267be1369eb1a1,1,32000000000,0,1,0
execution_address:0x001100ad6747b0b0db076915b2fef268694c847d,1,32000000000,0,1,0
execution_address:0x0016d68b95064b4bdf9d0960b03aa87dbf588c5f,1,32000000000,0,1,0
