rank_in_observation,observed_share_exact,shifted_share_exact
1,156764923819221/5225659813627439,18812277917266737/104513196272548780
2,139424183464217/5225659813627439,11948780563818725795979833155331/529766406503445808410192249874040
3,1683491925121130/88836216831666463,848687082509309133696341699227/52976640650344580841019224987404
4,1549037158346563/88836216831666463,7809053355103346914418553215777/529766406503445808410192249874040
5,1541932372734515/88836216831666463,1554647298648082227502658656637/105953281300689161682038449974808
6,1502094599481427/88836216831666463,1081772156571998789353059874919/75680915214777972630027464267720
7,1502094560164112/88836216831666463,946550612224543038008147990006/66220800812930726051274031234255
8,1447855557179372/88836216831666463,1824743395530452226280685317897/132441601625861452102548062468510
9,1394609501544071/88836216831666463,7030547942901706767821599965709/529766406503445808410192249874040
10,1305464628977573/88836216831666463,6581148093159738115259008036567/529766406503445808410192249874040
11,1301840252717290/88836216831666463,656287677704377718336794662491/52976640650344580841019224987404
12,1137637527803861/88836216831666463,819298999060702493411958314017/75680915214777972630027464267720
13,1134567953490160/88836216831666463,20427209149281436219578366638/1892022880369449315750686606693
14,1106668295455895/88836216831666463,1115793991002880034641270494041/105953281300689161682038449974808
15,1099013931949053/88836216831666463,5540382544310781550528030691487/529766406503445808410192249874040
16,1059990471816440/88836216831666463,133591407180172964528527535569/13244160162586145210254806246851
17,1056511465913968/88836216831666463,665764727071414107981348627034/66220800812930726051274031234255
18,1047924787964348/88836216831666463,188672514066825282457519681939/18920228803694493157506866066930
19,1047757858698466/88836216831666463,2640994432483010999984832983707/264883203251722904205096124937020
20,1031796553885591/88836216831666463,5201524248459435488080609337789/529766406503445808410192249874040
21,60508232138457/5225659813627439,5185611062320356335995261827651/529766406503445808410192249874040
22,1025340018507842/88836216831666463,2584487682721880768943526978859/264883203251722904205096124937020
23,59238792285903/5225659813627439,5076818901159684707142257939829/529766406503445808410192249874040
24,59028994015052/5225659813627439,1264709749169600951909611827809/132441601625861452102548062468510
25,1003492820018023/88836216831666463,5058838602263313345702853427117/529766406503445808410192249874040
26,1002769274464826/88836216831666463,2527595521179278335287032732927/264883203251722904205096124937020
27,1001686017823162/88836216831666463,360695006853321008064972302857/37840457607388986315013732133860
28,1001396230793269/88836216831666463,5048269212735360014686712998151/529766406503445808410192249874040
29,1000077528155233/88836216831666463,5041621328787288350898541257707/529766406503445808410192249874040
30,1000077528155233/88836216831666463,5041621328787288350898541257707/529766406503445808410192249874040
31,1000077528155233/88836216831666463,5041621328787288350898541257707/529766406503445808410192249874040
32,993010096360982/88836216831666463,357570912580686019059800632127/37840457607388986315013732133860
33,992849032765901/88836216831666463,5005180817423013385221249883279/529766406503445808410192249874040
34,992734045497845/88836216831666463,142988604002890190524099703693/15136183042955594526005492853544
35,992195349707612/88836216831666463,1250471362614449571868174176637/132441601625861452102548062468510
36,991543505474342/88836216831666463,2499299676716668741007703230609/264883203251722904205096124937020
37,989274306814320/88836216831666463,124678994998929818173765340082/13244160162586145210254806246851
38,989018182335002/88836216831666463,2492934308711219273998882969679/264883203251722904205096124937020
39,988813731705141/88836216831666463,4984837934673179515652609887239/529766406503445808410192249874040
40,945563318369949/88836216831666463,4766802632198385908795112383871/529766406503445808410192249874040
41,945262318201264/88836216831666463,85094378945894076829635671326/9460114401847246578753433033465
42,919018941096294/88836216831666463,2316493154054448504302352707313/264883203251722904205096124937020
43,916105709829372/88836216831666463,1154575009454333999347653905397/132441601625861452102548062468510
44,53516381055380/5225659813627439,229320150174864201708095127067/26488320325172290420509612493702
45,906808791259100/88836216831666463,228571606422200370066745853945/26488320325172290420509612493702
46,890454532704310/88836216831666463,64128379165027642970065186307/7568091521477797263002746426772
47,888118713964082/88836216831666463,2238605570448055222087284752339/264883203251722904205096124937020
48,887596654296463/88836216831666463,4474579317781333879496829547877/529766406503445808410192249874040
49,887471546623176/88836216831666463,559243577645505054883968532563/66220800812930726051274031234255
50,887240210193458/88836216831666463,2236391200450377138344858337491/264883203251722904205096124937020
51,885740255424402/88836216831666463,318944341655938397124199052997/37840457607388986315013732133860
52,880210382887597/88836216831666463,4437343421136558636244923618863/529766406503445808410192249874040
53,847024785818859/88836216831666463,4270047177315429081760214908761/529766406503445808410192249874040
54,836517624826677/88836216831666463,4217078156942676502553842674183/529766406503445808410192249874040
55,819742037338408/88836216831666463,516563569223025500125852033879/66220800812930726051274031234255
56,816108883744893/88836216831666463,4114192989108319967006416226847/529766406503445808410192249874040
57,814214140058943/88836216831666463,4104641149465156019370788791797/529766406503445808410192249874040
58,802423607612930/88836216831666463,404520235778744637258188962447/52976640650344580841019224987404
59,785173802758303/88836216831666463,565463159368871025010108613891/75680915214777972630027464267720
60,772398557760806/88836216831666463,1946919580482248124453548853137/264883203251722904205096124937020
61,771746308300664/88836216831666463,486318877637246543384704148357/66220800812930726051274031234255
62,680505240080987/88836216831666463,3430583765913074836132032165673/529766406503445808410192249874040
63,673718003309992/88836216831666463,424545967618773982312578824071/66220800812930726051274031234255
64,664775091870085/88836216831666463,95750984660476090778397461149/15136183042955594526005492853544
