rank_in_observation,observed_share_exact,shifted_share_exact
1,178461509/1692566336,4379970581/84628316800
2,305148671/3385132672,4379970581/84628316800
3,293773847/3385132672,4379970581/84628316800
4,109923803/1692566336,4379970581/84628316800
5,208070875/3385132672,4379970581/84628316800
6,171635619/3385132672,22089164751/423141584000
7,150080407/3385132672,19394763251/423141584000
8,132631785/3385132672,17213685501/423141584000
9,64098327/1692566336,8329647063/211570792000
10,122730715/3385132672,15976051751/423141584000
11,57745393/1692566336,7535530313/211570792000
12,57355575/1692566336,7486803063/211570792000
13,27677413/846283168,3618354719/105785396000
14,84009923/3385132672,11135952751/423141584000
15,20861979/846283168,2766425469/105785396000
16,19666533/846283168,2616994719/105785396000
17,8666145/423141584,290651793/13223174500
18,8036543/423141584,541953461/26446349000
19,55830969/3385132672,7613583501/423141584000
20,12622387/846283168,1736476469/105785396000
21,24410563/1692566336,3368676563/211570792000
22,40679365/3385132672,5719633001/423141584000
23,30827021/3385132672,4488090001/423141584000
24,10277191/1692566336,1602005063/211570792000
25,18356535/3385132672,2929279251/423141584000
26,2289509/423141584,45690959/6611587250
27,7880311/1692566336,1302395063/211570792000
28,14415413/3385132672,2436639001/423141584000
29,13115271/3385132672,2274121251/423141584000
30,804451/211570792,280451797/52892698000
31,6271923/1692566336,1101346563/211570792000
32,12036825/3385132672,2139315501/423141584000
33,5328211/1692566336,983382563/211570792000
34,4880981/1692566336,927478813/211570792000
35,9622845/3385132672,1837568001/423141584000
36,9606725/3385132672,1835553001/423141584000
37,4577307/1692566336,889519563/211570792000
38,8995479/3385132672,1759147251/423141584000
39,4318547/1692566336,857174563/211570792000
40,8266117/3385132672,1667977001/423141584000
41,7263817/3385132672,1542689501/423141584000
42,7175805/3385132672,1531688001/423141584000
43,372777/211570792,172533297/52892698000
44,2902231/1692566336,680135063/211570792000
45,1449601/846283168,339878219/105785396000
46,5673167/3385132672,1343858251/423141584000
47,1330471/846283168,324986969/105785396000
48,41123/26446349,161585047/52892698000
49,2593397/1692566336,641530813/211570792000
50,4896851/3385132672,1246818751/423141584000
51,4067275/3385132672,1143121751/423141584000
52,3544775/3385132672,1077809251/423141584000
53,770287/846283168,254963969/105785396000
54,716797/846283168,248277719/105785396000
55,2812041/3385132672,986217501/423141584000
56,1401533/1692566336,492547813/211570792000
57,2748419/3385132672,978264751/423141584000
58,2334997/3385132672,926587001/423141584000
59,699/1034576,140679/64661000
60,1140099/1692566336,459868563/211570792000
61,537603/846283168,225878469/105785396000
62,1905689/3385132672,872923501/423141584000
63,457605/846283168,215878719/105785396000
64,1793243/3385132672,858867751/423141584000
65,887017/1692566336,428233313/211570792000
66,1750527/3385132672,853528251/423141584000
67,1712243/3385132672,848742751/423141584000
68,838375/1692566336,422153063/211570792000
69,1667357/3385132672,843132001/423141584000
70,789827/1692566336,416084563/211570792000
71,788277/1692566336,415890813/211570792000
72,1571203/3385132672,831112751/423141584000
73,782697/1692566336,415193313/211570792000
74,1561911/3385132672,829951251/423141584000
75,11891/26446349,103121047/52892698000
76,1495393/3385132672,821636501/423141584000
77,10878/26446349,101095047/52892698000
78,667169/1692566336,400752313/211570792000
79,1274579/3385132672,794034751/423141584000
80,631129/1692566336,396247313/211570792000
81,1238191/3385132672,789486251/423141584000
82,147651/423141584,48897711/26446349000
83,1179283/3385132672,782122751/423141584000
84,1104055/3385132672,772719251/423141584000
85,1093791/3385132672,771436251/423141584000
86,1093525/3385132672,771403001/423141584000
87,1076627/3385132672,769290751/423141584000
88,65201/211570792,95639297/52892698000
89,999219/3385132672,759614751/423141584000
90,802477/3385132672,735022001/423141584000
91,663963/3385132672,717707751/423141584000
92,661881/3385132672,717447501/423141584000
93,660243/3385132672,717242751/423141584000
94,634789/3385132672,714061001/423141584000
95,537919/3385132672,701952251/423141584000
96,238109/1692566336,347119813/211570792000
97,194389/1692566336,341654813/211570792000
98,96861/846283168,170785719/105785396000
99,385387/3385132672,682885751/423141584000
100,321671/3385132672,674921251/423141584000
101,68695/846283168,167264969/105785396000
102,25139/423141584,41240711/26446349000
103,115255/3385132672,649119251/423141584000
104,13921/3385132672,636452501/423141584000
105,2501/846283168,158990719/105785396000
